breed_id,breed_name,description,image
old-english-game,Old English Game,"The Old English Game breed is one of the oldest breeds of fowl, having been introduced to England by Romans in the 1st century. Although their origins were in the fighting ring, today they are raised for their exotic appearance and only for show. They have compact, muscular bodies with feathers that are hard, glossy, and sit tight along the body. They are known to have fearless eyes and an indomitable spirit. Old English Games come in a variety of colors. Both hens and roosters have large and distinctive tail feathers. Hens make excellent brooders, although they can be overly aggressive as mothers. They can tolerate extreme climates, are good foragers, and do well in free range situations. Their excellent stamina and flying capabilities make them crafty escape artists. Many Old English Games live as long as 15 years or more.",old-english-game.jpg
silkie,Silkie,"Silkies are an ancient breed originating in the Far East, most likely China. They were first documented by Marco Polo himself around the year 1300. He encountered a travel with “a furry chicken.” Silkies are arguably the most popular and beloved of all ornamental breeds. They are the pocket pet of the chicken world, with sweet and friendly temperaments and feathers that feel more like hair. Because they are so tame, they are easily bullied by other birds. They are very broody, devoted mothers to anything that hatches from an egg and will even adopt other chicks. Silkies have black skin and black bones, a walnut-shaped comb, and turquoise earlobes. Their fuzzy feathers come in a variety of colors, but because of the feather structure they can’t fly and are not waterproof. If they get wet, they need to be dried with a towel before they catch a chill.",silkie.jpg
altsteirer,Altsteirer,"The Altsteirer is an ancient breed that may be thousands of years old, but the first record of its existence is from the 13th century. It originated in the Styria region of Austria and Slovenia and is one of the first identified breeds in Europe. Several of this breed’s physical characteristics also appear in chickens around Europe, suggesting that it was used to develop other breeds. The Altsteirer is a dual purpose breed of medium size. Hens lay 180 – 200 large white eggs per year and rarely go broody. Birds can weigh 4 – 8 pounds, and their round body makes a nice meal for the table. They are found in a variety of colors, including partridge, white, cuckoo, and black-breasted red. This breed is rare and is considered endangered. If you are looking for an easy to care for and very unique breed, this may be the one for you.",altsteirer.jpg
brussbar,Brussbar,"The Brussbar is a dual purpose breed, developed by Professor Punnett and Mr. Pease at Cambridge in the first half of the 20th century. They were looking to create an autosexing breed with the characteristics of a Light Sussex, the most popular breed at the time. Brown Sussex and Barred Rocks were used initially to create the autosexing plumage with utility strains of Light Sussex added to improve productivity. The breed was standardized in 1952. Birds are large and well-built, similar to a Sussex. They have a distinctive crele plumage, a copper and gold body color with barring patterns throughout. Originally, the Brussbar came in both a gold and silver variety, though now only the gold variety can be found. Brussbars never caught on in popularity and the breed barely survived the 1960s. They remain very rare today.",brussbar.jpg
california-grey,California Grey,"Developed in California in the 1930s by James Dryden, professor of poultry science. He wanted a dual-purpose hen laying large white eggs that remained in her egg-laying prime for longer than 2 years. He crossed a Barred Plymouth Rock rooster with a White Leghorn hen, which resulted in a naturally autosexing breed with grey barred plumage. Birds are between 4 – 6 pounds, which makes them too large to appeal to commercial egg producers. They were also never recognized by the American Poultry Association. This means they never enjoyed popularity and today are a rare find. If you manage to have this breed in your flock, you’re a lucky one. These birds are calm, good winter layers, and given the intent of their creator, should produce lots of eggs in their lifetime.",california-grey.jpg
catalana,Catalana,"Catalanas were developed near Barcelona in the district of Catalonia, Spain. This breed was introduced to the rest of the world at the 1902 World’s Fair held in Madrid. They have rich buff plumage, ranging from a light tan buff to a more red-gold buff.  Both sexes have black tails with a green shimmer green. Chicks are hardy and are a buffish color with a faint chipmunk pattern along their backs. They are a hardy, dual-purpose breed, with the style, alertness, and forage abilities typical of Mediterranean breeds. Catalanas are noted for being very heat tolerant. They lay about 200 – 240 white to light pink medium/large eggs per year and are not generally broody.",catalana.jpg
dampierre,Dampierre,"Ever wonder what happens when a breed goes extinct? The Normande chicken in France did just that and died out more than a century ago. This breed closely resembled its cousin, the Gournay, with the same black and white mottled coloring, but with a feather crest on its head. So is it just gone forever? Sort of. The exact Normande hasn’t returned, but instead has been re-created by poultry enthusiasts. This new breed, resembling the old breed, is known as the Dampierre. It was created in France in 1996 using Gournay and Crevecouer genetics. Since then, the breed continues to be improved and standardized with great attention to detail to resemble the Normande as closely as possible. Dampierres are dual-purpose, with fine white meat and delicate bones. Hens lay a productive number of large white eggs and are willing to go broody. This breed is only just beginning to make an appearance in the U.S. They are hard to come by and very expensive. If you manage to get your hands on these birds, you must be dedicated to advancing the breed by only raising birds that meet the breed standard.",dampierre.jpg
deathlayer,Deathlayer,"The Deathlayer (Totleger, in its native German) is over 400 years old and was once commonly found on German farms. Their popularity declined over the centuries, and now they are considered rare. Why the name Deathlayer? One theory is that it’s because hens will lay an egg a day up until the day they die. This breed is very striking in appearance, with iridescent greens and purple in their black body feathers and silver hackles. They have cushion combs and large dark eyes. The hens are super productive, laying medium-sized white eggs. They are very active birds and should be kept free range. They prefer to sleep in trees if given the option.",deathlayer.jpg
dorking,Dorking,"The history of the Dorking is similar to that of the Sussex. An ancient breed with ties to the Roman Empire, the Dorking was developed to be a superior table bird. Dorkings are gentle birds that are known to be calm, friendly, and tolerant, but likely to end up on the bottom of the pecking order if kept with other more aggressive breeds. They have a long back and a broad breast, and have been described as “stocky” or  “boxy-looking” in shape. Hens make excellent winter layers, and are exceptional mothers. They welcome chicks from other hens and tend to look after chicks far longer than other hens.",dorking.jpg
iowa-blue,Iowa Blue,"The Iowa Blue was developed in the early 1900s near Decorah, Iowa. A folk legend tells the story of a white Plymouth Rock hen emerging from under a building with a clutch of chicks that were colored solid chestnut to striped. Old-timers tell the tale that the chicks were sired by a pheasant. Iowa Blues are a practical, dual-purpose, homesteader chicken. They are fairly docile but excellent foragers. Hens have good mothering instincts and roosters are brave protectors of their flock. This breed almost went extinct in the 1980s and are still very rare. Fortunately, they are making a comeback thanks to some dedicated breeders and poultry keepers.",iowa-blue.jpg
langshan,Langshan,"Langshans originated in China near the Yangtszekiang River and made its way to England in 1872. The breed is valued for being a large bird, with quality meat, that lays a high volume of dark brown, purplish eggs. Landshans are a tall breed with great depth of body that is unique to this breed. Males weigh 9.5 lbs. and females 7.5 lbs. Langshans are hearty birds and good foragers. They are hardy, fast growing, and easily reared. They have tight feathering and can fly better than most other chickens. Hens are not dependable sitters but make excellent mothers once the chicks have hatched.",langshan.jpg
marsh-daisy,Marsh Daisy,"The Marsh Daisy is a very rare breed originating in Lancashire, England, and has not made a name for itself in other countries. It’s a bird with a fancy name and a practical nature. These birds are slow to mature, but once grown, are very hardy and excellent foragers and flourish in free range environments. Hens lay about 200 cream colored eggs each year. The Marsh Daisy chicken may be one of the rarest chicken breeds worldwide. It never achieved popularity abroad, was never recognized by the American Poultry Association and is little known or seen outside the UK.",marsh-daisy.jpg
norwegian-jaehorn,Norwegian Jaehorn,"The Jaehorn is the only breed of domestic chicken indigenous to Norway. They were developed in 1920 near the town of Stavenger. They have only recently made their way to North America and are still a rare find in the U.S. They come in two colors: dark brown and light brown. Hens can lay an impressive 215 white eggs per year. Jaehorns are small, hardy, and active birds. They are great flyers due to their size. So be aware, these chickens may try to fly the coop.",norwegian-jaehorn.jpg
orloff,Orloff,"Orloffs were previously believed to have originated in Russia, however modern research indicates they first appeared in Persia and were brought to Europe and Asia in the 17th century. The breed became popular through promoter Count Alexei Grigoryevich Orlov in the 19th century. Orloffs are tall and well adapted to the cold. They are tight feathered, head and neck are very densely feathered, and they have tiny combs, earlobes, and wattles. The hens lay a good amount of light brown eggs and are relatively calm.",orloff.jpg
orust,Orust,"The Orust is a landrace breed from the west coast of Sweden. This breed free ranged along the isolated rocky shores and is a proven survivor, eating whatever was available, including fish. This breed is considered extremely rare. They have black and white mottled feathers, and their legs can sometimes have the same pattern. As a unique trait, roosters’ wattles turn from red to bright violet when they are agitated and protecting their hens. The hens are prolific egg layers, and they produce a small to medium-sized white eggs.",orust.jpg
pavlovskaya,Pavlovskaya,"Pavlovskayas are Russia’s most ancient chicken breed. They were used in developing newer breeds like the Polish and the Brabanter. This breed nearly went extinct. In the 1990s, the total population consisted only of 2 roosters, and one of them was infertile. Very careful breeding programs rehabilitated the breed, however it is still super rare and virtually unknown outside of Russia. This breed is well adapted to its native climate of extreme cold. These tiny birds are only 3 – 4 pounds. They have a v-shaped comb accompanied by a crest, beard, muffs, and completely feathered legs and toes. They have a pleasant personality and are curious, lively, and trustful. The hens only lay about 70 – 90 white eggs per year. Their meat is light and gamey.",pavlovskaya.jpg
penedesenca,Penedesenca,"The Penedesenca originated in the region of Catalonia, in Spain. They are named after the town Vilafranca del Penedes and were developed from native backyard birds. This breed is extremely rare. In fact, they almost went extinct. In the 1980s, some breeders dedicated themselves to reviving the Penedesenca. This breed is known for the very dark brown eggs that the hens produce. They are said to be the darkest brown of any breed. They come is a few color varieties: Black, Crele, Partridge, and Wheaten. They have white earlobes, red wattles, and an unusual carnation comb.",penedesenca.jpg
pita-pinta-asturiana,Pita Pinta Asturiana,"Asturias is a principality in north-western Spain. In the Asturian language, Pita Pinta translates to “painted hen.” This breed is the only chicken indigenous to the area, and are considered extremely rare. Pita Pintas are compact birds with yellow skin, yellow beaks, red earlobes, and orange eyes. Plummage varieties include Pinta Negra (black mottled), Pinta Roxa (mottled brown), Blanca (white), and Abedul (black). Hens are reliable layers of eggs the color of burnt cream. These birds are tough and responsive to their environment.",pita-pinta-asturiana.jpg
rhodebar,Rhodebar,"The Rhodebar is a breed that we wish wasn’t quite so rare. Hailed as “an absolute gift for the small poultry enthusiast”, these birds have so many great qualities. Originally created at the University of British Columbia in the 1940s, the Rhodebar involves a cross of Rhode Island Reds and Plymouth Barred Rocks. A version of the breed was also created in the U.K. by crossing a Danish strain of Rhode Island Red with Golden Brussbars. Rhodebars are autosexing, meaning males and females have different coloring at the time of hatch. Males are yellow, and females have dark stripes of barring down their backs. This makes them easy to differentiate, so you stand an excellent chance of knowing if you’ve got future hens or roosters in the bunch. This is a dual-purpose breed. Hens are great layers of brown tinted eggs. You can expect about 180 – 200 eggs per year. Birds weigh between 6 – 9 pounds and dress out nicely for the table. Since it was developed just before the dawn of commercial hybrid breeds, it only enjoyed brief popularity, and is now very rare. Those who continue to breed and raise Rhodebars are very devoted to maintaining the exceptional qualities of this breed.",rhodebar.jpg
thuringian,Thuringian,"Thuringians were developed in 19th century Germany, in the Thuringian Forest. They were intended to be a dual-purpose breed, but are now seen mainly at poultry shows. They are very rare. They have a distinctive beard, muffs, and a very small comb. This makes them well-suited for cold climates, and gives them a cute, chubby-cheeked appearance. They are friendly, tame, and make good pets. It is said that different color varieties each have different personalities. They are confidant and like to explore, preferring to free range rather than be confined to a coop. Hens lay about 160 eggs per year. They do not go broody often, but when they do, they are very defensive mothers.",thuringian.jpg
twentse,Twentse,"Twentses (Dutch), also known as Kraienkoppes (German), are a large breed of chicken from an area spanning between Germany and the Netherlands. They are rumored to be the result of Leghorn and Malay crosses and are sporty, ornamental birds that also have good egg production. Hens lay about 200 off-white eggs per year. They have small wattles, earlobes, and walnut comb—all bright red in color. This rare breed is an excellent forager in both free range and confined conditions. The Twentse is usually kept as a layer or as a show bird.",twentse.jpg
ayam-cemani,Ayam Cemani,"The Ayam Cemani is a unique breed with a striking in appearance. Originating from the island of Java, they have black plumage, black skin, black muscles, black bones, even black organs. They have a gene that causes hyperpigmentation (Fibromelanosis). While their blood is still red, it is very dark. Due to their exotic appearance, in Asia their meat is considered to have mystic powers. They are friendly birds, hardy, low maintenance, and easy to handle. Hens lay a moderate amount of cream colored eggs that are relatively large in proportion to their body size. Consider yourself lucky if you can find a bird of this breed since they are extremely rare and can be expensive.",ayam-cemani.jpg
campine,Campine,"The Campine chicken is originally from northern Belgium, but once it was imported to England in 1899, it was developed in to a much different bird. Something that makes Campines unique is that oftentimes, especially in Europe, roosters will be “hen feathered.” This means that they don’t develop the long sickle feathers, pointed hackle feathers, or pointed saddle feathers. Rather, their plumage resembles that of a hen. Campines come in two color varieties: Silver and Golden. They are fair layers of white eggs, but mostly for show. This bird is considered a delicate, active breed. They are a fun addition for any backyard poultry collection.",campine.jpg
cubalaya,Cubalaya,"The Cubalaya is the only breed developed in Cuba. It is descended from Sumatra and Malay birds brought to Cuba from the Philippines. They were selectively bred to be impressive in appearance, with a courageous expression. Roosters have flowing hackle feathers and a “lobster tail” – a downward angled tail with lavish feathering. Their look is truly unique to the breed. These birds are very tame, with a friendly and curious disposition. They very heat tolerant and perfect for regions with long hot summers. The hens are reliable layers, lay small eggs and are good brooders.",cubalaya.jpg
egyptian-fayoumi,Egyptian Fayoumi,"Fayoumis are an ancient Egyptian breed. They about 3,000 years old, descended from Sri Lankan junglefowl that the Pharoah Tutankhamen had procured through the ancient cinnamon trade. They look somewhat like a roadrunner, with upright tails and forward jutting necks. They are a very hardy breed, and not surprisingly well-suited for hot climates. They are such excellent foragers and can pretty much fend for themselves. They are fat to mature, and hens are good layers of off-white colored eggs.",egyptian-fayoumi.jpg
favorelles,Favorelles,"The Favorelles is a French breed of chicken. They are considered a heavy breed, and have a beard, muffs, feathered feet, and 5 toes per foot. They are also known for their round shape. As this breed is energetic, adaptable and curious and gets along with people of all ages making them a popular choice in home flocks as egg layers and pets. At the same time, their gentleness can cause them to be picked on by other birds, so watch out for bullies. Favorelles hens are excellent sitters and mothers. they have been known to lay from 150 to over 200 eggs per year.",favorelles.jpg
la-fleche,La Flèche,"La Flèche is a rare, French dual-purpose breed. The words “la fleche” translates to “the arrow,” which is linked to the part of France where these birds originated in the fifth century. The La Flèche chicken is a medium-sized, dual-purpose bird with black plumage and a beautiful full, curved tail. These birds are known for their very distinct V-shaped comb. They have tightly arranged black plumage and white earlobes. H ens lay 140 – 220 large to extra-large white eggs from March through October. They are not broody and considered to be poor mothers.",la-fleche.jpg
lakenvelder,Lakenvelder,"Lakenvelders are sometimes known as “Shadows on a Sheet,” because in Dutch the name translates to white spread over a black field. They are beautiful birds with blue legs, deep red eyes, and long flowing tails. They have single combs and you will see that even the females’ combs stand tall. Lakenvelders are known not just for their beauty, but also their egg laying abilities. They lay about 175 porcelain white eggs per year. They are great foragers and very active, but they are wary. These birds will not cuddle with your kids.",lakenvelder.jpg
onagadori,Onagadori,"Meaning “long-tailed chicken” in Japanese, Onagadoris are designated as a Special Natural Monument by the Japanese government. It has taken centuries breeding to create what the breed has become today. The three recognized color varieties from Japan are: black-breasted white, black-breasted red, and white. Breeders provide special hutches with perches well above the ground where the tails are kept clean and in good condition. Their tails do not molt, but grow continuously, allowing them to reach lengths of 12 to 27 feet long. The Onagadori is kept for ornamental purposes only by enthusiastic breeders.",onagadori.jpg
phoenix,Phoenix,"The Phoenix chicken is a German creation from the long-tailed fowls of Japan. The first president of the National German Poultry Association, Mr. Hugo du Roi, is credited with the creation of the breed. His intent was to reinvigorate the small population of long-tailed fowl in Europe. Some say the name “Phoenix” was given to the resultant chickens to acknowledge the seeming “rise from the ashes” of their soon lost parents. The Phoenix chicken is an alert breed with a pheasant-like appearance. They are fair layers that can go broody. The chicks are hardy, but require extra protein when their tails are growing. The breed thrives when it can roam at large with plenty of freedom.",phoenix.jpg
shamo,Shamo,"The Shamo originated in Thailand and made its way to Japan in the 1600s. As with other things distinctly Japanese, the Shamo was carefully curated and finely tuned over the centuries. Different regions of Japan favor different colors and sizes. These birds are so revered in Japan that they were officially placed under protection of the law in 1941. After World War II, the breed took up favor in the southern United States, but as of 2015 they’ve all but disappeared from the country. Shamos are an exhibition breed and aren’t good for much else besides their impressive looks. Hens are devoted mothers but poor layers. Their meat is too tough to eat. They are all tall chicken with an upright stature. They can reach almost 3 feet tall and can range from 4 – 13 pounds. Shamos are intelligent and friendly towards humans, with a confidence that makes them treat us as their equal.",shamo.jpg
sicilian-buttercup,Sicilian Buttercup,"Sicilian Buttercups originated on the island of Sicily, and were imported to the U.S., Britain, and Australia in the early 20th century. They are named for their very unique comb. It is a cup-shaped crown with a complete circle of medium sized regular points. No other breed has this type of comb. The Sicilian Buttercup is famous not only for its unique comb type, but also for its incredibly beautiful color pattern. A female Buttercup is considered the most beautiful and has an overall golden-buff color, with pure golden hackle feathers on the neck. On the rest of the body, these golden feathers are marked with small, black, diagonal spangles, creating a beautiful and unique color pattern. These birds are active foragers, preferring to free range. They lay a modest number of small eggs — about 180 in a year. This breed is very friendly, making them a great pet.",sicilian-buttercup.jpg
sumatra,Sumatra,"This breed was shaped by its wild origins on the isles of Sumatra, Java, and Borneo in Indonesia. The Sumatra chicken is distinctive with long flowing curves, abundant tail feathering, and a rich green sheen. Their rich green sheen and royal appearance belies their heritage as a fighting breed. Sumatra hens lay an abundant number of white or lightly tinted eggs and are excellent winter layers. They are also among the best and broodiest of mothers. Both adults and chicks are hardy and easy to raise. Sumatra chickens are active and alert and are especially good at launching vertically to escape danger.",sumatra.jpg
swedish-black,Swedish Black (Svarthöna),"Swedish Blacks, translated from Svarthöna in their native Swedish, are an ultra-rare and exotic breed. While the breed was developed on the border of Norway and Sweden, these birds have ancestry tracing back to Indonesia. Like their cousins, the rare Ayam Cemani and the more common Silkie, Svart Hönas have fibromelanistic genetic traits, making them entirely black. While they look similar to the Ayam Cemani, they have a more refined and less gamey appearance. Svarthönas are small and sleek, with birds weighing 5 – 8 pounds. They thrive in free-range flocks. Their flying abilities are above average, and if given the chance will choose to roost high off the ground. Hens are excellent layers of cream colored eggs, which are very large in relation to their small body size. Roosters are very alert and excellent protectors of the flock. They are very friendly and seek out human interaction and affection.",swedish-black.jpg
swedish-flower,Swedish Flower (Blommehöna),"Originally a landrace breed, Swedish Flowers were not intentionally developed. Rather, they were created by nature as a result of the pairing of the strongest and hardiest birds over the last 500 years. They are the largest of the Swedish breeds and can weigh up to 8 pounds. They are named after their unique and striking feather pattern. Because they are not a standard breed, they come in a wide variety of colors featuring red, blue, or black, but should all maintain the flower patterning. These birds have so many great qualities. Being native to Sweden, they are extremely hardy and well adapted for cold. They are confident in nature, but not aggressive. They enjoy human interaction, but maintain enough independence and street smarts to be kept free-ranging. Hens are great layers of extra-large eggs that can range from cream to pale brown in color. This breed is quite rare, but is becoming the talk of the town among poultry enthusiasts. They should become more readily available in the future.",swedish-flower.jpg
white-faced-black-spanish,White Faced Black Spanish,"The Black Spanish is a regal bird that holds itself with the posture of aristocrats. This ancient breed is lustrous green-black, with a distinguishing white face and enormous white earlobes. Males weigh 8 lbs. and females weigh 6.5 lbs. Black Spanish hens were hugely popular in the 1800s for their ability to lay an abundant amount of large white eggs. They are not a cuddly breed, but prefer to roam, and are not happy being confined. They are not an aggressive breed, but would be aloof in a flock with other breeds. They are also vocal. They ultimately lost favor with farmers because they are fairly delicate birds, and hardier breeds came along.",white-faced-black-spanish.jpg
yokohama,Yokohama,"Like the Phoenix, the Yokohama chicken is a German creation from long-tailed fowls of Japanese descent. They have a beautiful and elegant appearance with white plumage and red across the breast and back. Some Yokohamas have tails of three and even four feet long. They are an alert breed with a game-like appearance. Yokohamas are indifferent layers and can go broody after laying only 12 – 14 eggs. The chicks are hardy, but require extra protein when their long tails are growing. These birds prefer to be in a warm climate, are easy to tame and handle, and do well in confinement.",yokohama.jpg
